,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(41k Reviews),Public,"Mumbai,Maharashtra + 238 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(27.4k Reviews),Public,"Dublin,Dublin + 132 more",33 years old,1 Lakh+ Employees (India)
2,Cognizant,3.9,(24.8k Reviews),Private,"Teaneck,New Jersey + 88 more",28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(31.7k Reviews),Public,"Mumbai,Maharashtra + 987 more",28 years old,50k-1 Lakh Employees (India)
4,Wipro,3.9,(23.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 252 more",77 years old,1 Lakh+ Employees (India)
5,HDFC Bank,4.0,(32.7k Reviews),Public,"Mumbai,Maharashtra + 1102 more",28 years old,1 Lakh+ Employees (India)
6,Capgemini,3.9,(20.1k Reviews),Public,Paris + 69 more,55 years old,1 Lakh+ Employees (India)
7,HCL Technologies,3.9,(19.8k Reviews),Public,"Noida,Uttar Pradesh + 158 more",46 years old,1 Lakh+ Employees (India)
8,Infosys,4.0,(23.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 116 more",41 years old,1 Lakh+ Employees (India)
9,Tech Mahindra,3.7,(18.4k Reviews),Public,"Pune,Maharashtra + 181 more",36 years old,50k-1 Lakh Employees (India)
10,Genpact,4.0,(18.5k Reviews),Private,"New York,New York + 58 more",25 years old,50k-1 Lakh Employees (India)
11,Axis Bank,3.9,(16.8k Reviews),Public,"Mumbai,Maharashtra + 991 more",29 years old,50k-1 Lakh Employees (India)
12,IBM,4.2,(13.7k Reviews),Public,"Armonk,New York + 107 more",111 years old,1 Lakh+ Employees (India)
13,Concentrix Corpo...,4.1,(13.2k Reviews),Public,"Fremont,California + 61 more",39 years old,10k-50k Employees (India)
14,Larsen & Toubro ...,4.0,(17.3k Reviews),Public,"Mumbai,Maharashtra + 489 more",84 years old,10k-50k Employees (India)
15,Amazon,4.2,(13.1k Reviews),Private,"Seattle,Washington + 324 more",28 years old,1 Lakh+ Employees (India)
16,Reliance jio,4.0,(12.9k Reviews),Public,"Navi Mumbai,Maharashtra + 898 more",15 years old,10k-50k Employees (India)
17,Vodafone Idea,4.3,(12.8k Reviews),Public,"Gandhinagar,Gujrat + 547 more",4 years old,10k-50k Employees (India)
18,HDB Financial Se...,4.0,(11.6k Reviews),Private,"Ahmedabad,Gujrat + 700 more",15 years old,1 Lakh+ Employees (India)
19,Teleperformance,3.6,(9.1k Reviews),Private,Paris + 112 more,44 years old,50k-1 Lakh Employees (India)
20,Kotak Mahindra B...,3.9,(12.1k Reviews),Public,"Mumbai,Maharashtra + 455 more",19 years old,10k-50k Employees (India)
21,Reliance Industr...,4.1,(36.1k Reviews),Public,"Navi Mumbai,Maharashtra + 409 more",49 years old,1 Lakh+ Employees (India)
22,Bharti Airtel,4.1,(11.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 465 more",27 years old,5k-10k Employees (India)
23,Tata Motors,4.1,(8.2k Reviews),Public,"Pune,Maharashtra + 372 more",77 years old,50k-1 Lakh Employees (India)
24,Deloitte,4.0,(8k Reviews),Private,"New York,New York + 134 more",177 years old,10k-50k Employees (India)
25,Reliance Retail,4.1,(12.2k Reviews),Private,"Navi Mumbai,Maharashtra + 509 more",16 years old,1 Lakh+ Employees (India)
26,Mahindra & Mahin...,4.1,(18.7k Reviews),Public,"Mumbai,Maharashtra + 385 more",77 years old,10k-50k Employees (India)
27,IndusInd Bank,3.8,(6.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 533 more",28 years old,10k-50k Employees (India)
28,WNS,3.7,(6k Reviews),Private,"Mumbai,Maharashtra + 20 more",26 years old,10k-50k Employees (India)
29,DXC Technology,3.9,(6.1k Reviews),Public,"Minato,Tokyo + 55 more",31 years old,10k-50k Employees (India)
30,Hinduja Global S...,4.0,(5.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 73 more",22 years old,1k-5k Employees (India)
31,Flipkart,4.2,(9.6k Reviews),Private,"Bangalore,Karnataka + 380 more",15 years old,10k-50k Employees (India)
